France, Total Population, Death rates (period 1x1), 	Last modified: 13 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1816           0             0.186986        0.222931        0.205344
  1816           1             0.046702        0.046670        0.046685
  1816           2             0.033928        0.034306        0.034120
  1816           3             0.022912        0.023155        0.023035
  1816           4             0.015995        0.016075        0.016035
  1816           5             0.013834        0.013635        0.013733
  1816           6             0.012102        0.011632        0.011861
  1816           7             0.010430        0.009908        0.010162
  1816           8             0.008907        0.008379        0.008636
  1816           9             0.007595        0.007105        0.007344
  1816          10             0.006286        0.006012        0.006147
  1816          11             0.005373        0.005206        0.005289
  1816          12             0.004907        0.004646        0.004776
  1816          13             0.004851        0.004427        0.004638
  1816          14             0.005206        0.004549        0.004877
  1816          15             0.005763        0.004965        0.005366
  1816          16             0.006306        0.005607        0.005962
  1816          17             0.006884        0.006451        0.006670
  1816          18             0.007392        0.007522        0.007456
  1816          19             0.007815        0.008842        0.008322
  1816          20             0.007640        0.010293        0.008908
  1816          21             0.007532        0.011572        0.009403
  1816          22             0.007909        0.012514        0.010040
  1816          23             0.008250        0.012917        0.010408
  1816          24             0.008551        0.012702        0.010468
  1816          25             0.008711        0.012094        0.010251
  1816          26             0.008691        0.011233        0.009835
  1816          27             0.008733        0.010448        0.009504
  1816          28             0.008743        0.009886        0.009257
  1816          29             0.008692        0.009528        0.009068
  1816          30             0.009147        0.009457        0.009290
  1816          31             0.009641        0.009422        0.009537
  1816          32             0.009824        0.009541        0.009690
  1816          33             0.010049        0.009683        0.009875
  1816          34             0.010309        0.009842        0.010087
  1816          35             0.010567        0.009945        0.010271
  1816          36             0.010940        0.010151        0.010564
  1816          37             0.011313        0.010377        0.010867
  1816          38             0.011754        0.010654        0.011229
  1816          39             0.012279        0.010992        0.011665
  1816          40             0.012341        0.011382        0.011893
  1816          41             0.012395        0.011905        0.012171
  1816          42             0.012885        0.012534        0.012725
  1816          43             0.013284        0.013245        0.013266
  1816          44             0.013622        0.014073        0.013828
  1816          45             0.014088        0.015035        0.014523
  1816          46             0.014483        0.015896        0.015134
  1816          47             0.014751        0.016632        0.015619
  1816          48             0.015180        0.017431        0.016219
  1816          49             0.015749        0.018275        0.016916
  1816          50             0.016950        0.019113        0.017967
  1816          51             0.018265        0.020009        0.019100
  1816          52             0.019048        0.020938        0.019953
  1816          53             0.019767        0.021805        0.020743
  1816          54             0.020444        0.022643        0.021497
  1816          55             0.021228        0.023281        0.022218
  1816          56             0.022713        0.024484        0.023574
  1816          57             0.024350        0.026085        0.025193
  1816          58             0.026721        0.028318        0.027496
  1816          59             0.030031        0.031381        0.030686
  1816          60             0.033563        0.034519        0.034027
  1816          61             0.037492        0.038015        0.037746
  1816          62             0.040655        0.040926        0.040787
  1816          63             0.043308        0.043424        0.043364
  1816          64             0.045284        0.045379        0.045330
  1816          65             0.045920        0.046341        0.046124
  1816          66             0.047952        0.048574        0.048253
  1816          67             0.051255        0.052012        0.051621
  1816          68             0.055996        0.056869        0.056418
  1816          69             0.062455        0.063401        0.062912
  1816          70             0.070105        0.070814        0.070448
  1816          71             0.078702        0.079130        0.078909
  1816          72             0.086809        0.087276        0.087036
  1816          73             0.094920        0.095552        0.095227
  1816          74             0.101529        0.102569        0.102034
  1816          75             0.106475        0.108725        0.107565
  1816          76             0.112087        0.115656        0.113811
  1816          77             0.120172        0.124745        0.122377
  1816          78             0.130860        0.136486        0.133566
  1816          79             0.132735        0.138582        0.135541
  1816          80             0.161117        0.165290        0.163132
  1816          81             0.179253        0.182733        0.180934
  1816          82             0.197379        0.199912        0.198604
  1816          83             0.213985        0.215589        0.214762
  1816          84             0.225575        0.226804        0.226170
  1816          85             0.227346        0.229218        0.228253
  1816          86             0.224141        0.227298        0.225668
  1816          87             0.219107        0.223900        0.221422
  1816          88             0.213778        0.220459        0.217001
  1816          89             0.212951        0.221824        0.217230
  1816          90             0.224285        0.235270        0.229588
  1816          91             0.239711        0.251406        0.245380
  1816          92             0.256769        0.268228        0.262353
  1816          93             0.277501        0.286521        0.281928
  1816          94             0.304993        0.305111        0.305052
  1816          95             0.340464        0.327172        0.333759
  1816          96             0.377362        0.353281        0.365147
  1816          97             0.410714        0.377493        0.393804
  1816          98             0.438730        0.407527        0.422934
  1816          99             0.462882        0.451876        0.457370
  1816         100             0.319487        0.387128        0.353619
  1816         101             0.316424        0.394589        0.355943
  1816         102             0.310800        0.399568        0.355795
  1816         103             0.302756        0.403888        0.354021
  1816         104             0.289991        0.402167        0.346958
  1816         105             0.280457        0.399847        0.341610
  1816         106             0.271730        0.404951        0.339970
  1816         107             0.254237        0.411449        0.333433
  1816         108             0.233036        0.404676        0.318548
  1816         109             0.133929        0.389819        0.268594
  1816         110+            0.000000        0.324181        0.142136
  1817           0             0.181727        0.217954        0.200266
  1817           1             0.054247        0.053905        0.054073
  1817           2             0.038904        0.038601        0.038750
  1817           3             0.027050        0.027090        0.027070
  1817           4             0.018839        0.018917        0.018878
  1817           5             0.015245        0.015382        0.015315
  1817           6             0.012863        0.012879        0.012871
  1817           7             0.010745        0.010688        0.010716
  1817           8             0.008928        0.008897        0.008912
  1817           9             0.007492        0.007446        0.007468
  1817          10             0.006471        0.006373        0.006421
  1817          11             0.005753        0.005692        0.005722
  1817          12             0.005331        0.005258        0.005295
  1817          13             0.005310        0.005087        0.005198
  1817          14             0.005650        0.005261        0.005455
  1817          15             0.006279        0.005733        0.006005
  1817          16             0.006740        0.006286        0.006514
  1817          17             0.007109        0.006908        0.007010
  1817          18             0.007610        0.007678        0.007644
  1817          19             0.008115        0.008618        0.008363
  1817          20             0.008605        0.009665        0.009128
  1817          21             0.008502        0.010502        0.009458
  1817          22             0.008391        0.011103        0.009646
  1817          23             0.008720        0.011395        0.009956
  1817          24             0.008882        0.011161        0.009934
  1817          25             0.008916        0.010488        0.009640
  1817          26             0.008810        0.009896        0.009304
  1817          27             0.008696        0.009451        0.009036
  1817          28             0.008725        0.009142        0.008912
  1817          29             0.008834        0.009127        0.008966
  1817          30             0.008964        0.009306        0.009118
  1817          31             0.009436        0.009375        0.009408
  1817          32             0.010029        0.009505        0.009781
  1817          33             0.010227        0.009712        0.009982
  1817          34             0.010418        0.009892        0.010168
  1817          35             0.010639        0.010084        0.010375
  1817          36             0.010941        0.010321        0.010646
  1817          37             0.011264        0.010576        0.010936
  1817          38             0.011647        0.010929        0.011304
  1817          39             0.012134        0.011388        0.011778
  1817          40             0.012728        0.011959        0.012361
  1817          41             0.012877        0.012640        0.012766
  1817          42             0.013033        0.013386        0.013194
  1817          43             0.013641        0.014102        0.013851
  1817          44             0.014108        0.014701        0.014379
  1817          45             0.014469        0.015227        0.014815
  1817          46             0.015070        0.015971        0.015483
  1817          47             0.015701        0.016843        0.016227
  1817          48             0.016210        0.017796        0.016941
  1817          49             0.016941        0.019084        0.017930
  1817          50             0.017833        0.020619        0.019119
  1817          51             0.019146        0.021935        0.020456
  1817          52             0.020387        0.023063        0.021666
  1817          53             0.020878        0.024036        0.022388
  1817          54             0.021088        0.024690        0.022811
  1817          55             0.021205        0.025205        0.023117
  1817          56             0.022325        0.026283        0.024232
  1817          57             0.024185        0.027886        0.025982
  1817          58             0.026479        0.030124        0.028247
  1817          59             0.029813        0.033230        0.031469
  1817          60             0.034052        0.037110        0.035534
  1817          61             0.038349        0.041062        0.039665
  1817          62             0.041798        0.044322        0.043024
  1817          63             0.044173        0.046853        0.045474
  1817          64             0.045668        0.048804        0.047191
  1817          65             0.046449        0.050327        0.048331
  1817          66             0.047793        0.052432        0.050041
  1817          67             0.050211        0.055483        0.052760
  1817          68             0.054218        0.059821        0.056924
  1817          69             0.060074        0.065711        0.062794
  1817          70             0.067780        0.073133        0.070362
  1817          71             0.075859        0.080646        0.078172
  1817          72             0.083584        0.087856        0.085654
  1817          73             0.090330        0.094663        0.092432
  1817          74             0.096368        0.101263        0.098744
  1817          75             0.102025        0.108151        0.104997
  1817          76             0.107781        0.115704        0.111612
  1817          77             0.113943        0.124366        0.118943
  1817          78             0.122934        0.134492        0.128458
  1817          79             0.135009        0.147163        0.140795
  1817          80             0.155858        0.163505        0.159540
  1817          81             0.174014        0.180040        0.176915
  1817          82             0.191868        0.196198        0.193956
  1817          83             0.207366        0.210375        0.208819
  1817          84             0.216556        0.219654        0.218055
  1817          85             0.215214        0.221096        0.218061
  1817          86             0.209049        0.219055        0.213884
  1817          87             0.201936        0.216069        0.208746
  1817          88             0.197655        0.214438        0.205719
  1817          89             0.202626        0.218591        0.210281
  1817          90             0.223760        0.233842        0.228592
  1817          91             0.250486        0.251616        0.251029
  1817          92             0.279020        0.269161        0.274249
  1817          93             0.308632        0.289174        0.299137
  1817          94             0.338934        0.314726        0.327000
  1817          95             0.370841        0.347859        0.359308
  1817          96             0.406963        0.391148        0.398897
  1817          97             0.447110        0.450635        0.448915
  1817          98             0.493899        0.517080        0.505775
  1817          99             0.574927        0.610657        0.592998
  1817         100             0.613147        0.502182        0.557550
  1817         101             0.671552        0.534706        0.601836
  1817         102             0.730142        0.568588        0.647525
  1817         103             0.792963        0.600892        0.694208
  1817         104             0.858326        0.636882        0.744246
  1817         105             0.916850        0.659466        0.783516
