Entity,Code,Year,"Homicide rate per 100,000 population  where the weapon was a firearm",World region according to OWID
Albania,ALB,2006,1.7372444,Europe
Albania,ALB,2007,2.1833432,Europe
Albania,ALB,2008,1.8710759,Europe
Albania,ALB,2009,1.9247136,Europe
Albania,ALB,2010,3.004724,Europe
Albania,ALB,2011,2.9537997,Europe
Albania,ALB,2012,3.4364214,Europe
Albania,ALB,2013,3.0953655,Europe
Albania,ALB,2014,2.4106762,Europe
Albania,ALB,2015,1.5869555,Europe
Albania,ALB,2016,1.4838502,Europe
Albania,ALB,2017,1.5181614,Europe
Albania,ALB,2018,1.5893687,Europe
Albania,ALB,2019,1.6291107,Europe
Albania,ALB,2020,1.4275997,Europe
Albania,ALB,2021,1.7546104,Europe
Albania,ALB,2022,1.1316986,Europe
Albania,ALB,2023,0.88915604,Europe
Algeria,DZA,2012,0.10625252,Africa
Algeria,DZA,2013,0.119747475,Africa
Algeria,DZA,2014,0.10457841,Africa
Algeria,DZA,2015,0.21489508,Africa
Algeria,DZA,2016,0.13463655,Africa
Algeria,DZA,2017,0.12713094,Africa
Algeria,DZA,2018,0.08940117,Africa
Algeria,DZA,2019,0.08315135,Africa
Algeria,DZA,2020,0.1316922,Africa
Algeria,DZA,2021,0.13851313,Africa
Algeria,DZA,2022,0.09455248,Africa
Algeria,DZA,2023,0.10830899,Africa
Andorra,AND,2007,0,Europe
Andorra,AND,2008,1.1976837,Europe
Andorra,AND,2009,0,Europe
Andorra,AND,2010,0,Europe
Andorra,AND,2011,0,Europe
Andorra,AND,2012,0,Europe
Andorra,AND,2013,0,Europe
Andorra,AND,2014,0,Europe
Andorra,AND,2015,0,Europe
Antigua and Barbuda,ATG,2015,1.1184556,North America
Antigua and Barbuda,ATG,2016,4.445976,North America
Antigua and Barbuda,ATG,2017,11.053632,North America
Antigua and Barbuda,ATG,2018,3.2993863,North America
Antigua and Barbuda,ATG,2019,2.189058,North America
Antigua and Barbuda,ATG,2020,3.2663372,North America
Antigua and Barbuda,ATG,2021,4.331395,North America
Antigua and Barbuda,ATG,2022,9.6940975,North America
Antigua and Barbuda,ATG,2023,8.573067,North America
Argentina,ARG,2015,3.6364045,South America
Argentina,ARG,2017,2.8110886,South America
Argentina,ARG,2018,2.7186277,South America
Argentina,ARG,2019,2.5081456,South America
Argentina,ARG,2020,2.6752543,South America
Argentina,ARG,2021,2.4165633,South America
Argentina,ARG,2022,2.3101704,South America
Argentina,ARG,2023,2.6021993,South America
Armenia,ARM,2005,0.2328404,Asia
Armenia,ARM,2006,0.5350496,Asia
Armenia,ARM,2007,0.7395408,Asia
Armenia,ARM,2008,0.6081102,Asia
Armenia,ARM,2009,0.30554911,Asia
Armenia,ARM,2010,0.3411714,Asia
Armenia,ARM,2011,0.20524956,Asia
Armenia,ARM,2012,0.2395187,Asia
Armenia,ARM,2013,0.37638775,Asia
Armenia,ARM,2014,0.27374554,Asia
Armenia,ARM,2015,0.890052,Asia
Armenia,ARM,2016,0.5139111,Asia
Armenia,ARM,2017,0.61750346,Asia
Armenia,ARM,2018,0.20618808,Asia
Armenia,ARM,2019,0.6542764,Asia
Armenia,ARM,2020,0.4842795,Asia
Armenia,ARM,2021,0.38322872,Asia
Armenia,ARM,2022,0.41654018,Asia
Armenia,ARM,2023,0.37371835,Asia
Australia,AUS,2005,0.16753316,Oceania
Australia,AUS,2006,0.19912037,Oceania
Australia,AUS,2007,0.16225594,Oceania
Australia,AUS,2008,0.14037985,Oceania
Australia,AUS,2009,0.15608494,Oceania
Australia,AUS,2010,0.1716228,Oceania
Australia,AUS,2011,0.13790174,Oceania
Australia,AUS,2012,0.17503445,Oceania
Australia,AUS,2013,0.14201935,Oceania
Australia,AUS,2014,0.15257081,Oceania
Australia,AUS,2015,0.11274427,Oceania
Australia,AUS,2016,0.13152507,Oceania
Australia,AUS,2017,0.093000546,Oceania
Australia,AUS,2018,0.09952346,Oceania
Australia,AUS,2019,0.14912069,Oceania
Australia,AUS,2020,0.077688634,Oceania
Australia,AUS,2021,0.096315295,Oceania
Australia,AUS,2022,0.118316166,Oceania
Australia,AUS,2023,0.094513945,Oceania
Austria,AUT,2005,0.15797396,Europe
Austria,AUT,2006,0.21765684,Europe
Austria,AUT,2007,0.15668404,Europe
Austria,AUT,2008,0.096116275,Europe
Austria,AUT,2009,0.16776381,Europe
Austria,AUT,2010,0.1434533,Europe
Austria,AUT,2011,0.119143076,Europe
Austria,AUT,2012,0.023720287,Europe
Austria,AUT,2013,0.04716199,Europe
Austria,AUT,2014,0.10529003,Europe
Austria,AUT,2015,0.057843335,Europe
Austria,AUT,2016,0.1029994,Europe
Austria,AUT,2017,0.18184344,Europe
Austria,AUT,2018,0.09048084,Europe
